food,water_in_liter,electric_in_kwh,internet_in_gb,cloth_wash_in_kg,cost_rupiah
Nasi Goreng,0.80,1.00,0.20,0.90,25900.0
Indomie,0.80,1.00,0.20,0.90,12900.0
Bakso ayam,0.80,1.00,0.20,0.90,22900.0
Sate,0.80,1.00,0.20,0.90,26900.0
Rendang,0.80,1.00,0.20,0.90,35900.0
Sayur lodeh,0.80,1.00,0.20,0.90,24900.0
Gado Gado,0.80,1.00,0.20,0.90,23900.0
Rawon,0.80,1.00,0.20,0.90,30900.0
Ketoprak,0.80,1.00,0.20,0.90,23400.0
Siomay,0.80,1.00,0.20,0.90,19900.0
Nasi Goreng,1.00,1.00,0.20,0.90,26100.0
Indomie,1.00,1.00,0.20,0.90,13100.0
Bakso ayam,1.00,1.00,0.20,0.90,23100.0
Sate,1.00,1.00,0.20,0.90,27100.0
Rendang,1.00,1.00,0.20,0.90,36100.0
Sayur lodeh,1.00,1.00,0.20,0.90,25100.0
Gado Gado,1.00,1.00,0.20,0.90,24100.0
Rawon,1.00,1.00,0.20,0.90,31100.0
Ketoprak,1.00,1.00,0.20,0.90,23600.0
Siomay,1.00,1.00,0.20,0.90,20100.0
Nasi Goreng,1.20,1.00,0.20,0.90,26300.0
Indomie,1.20,1.00,0.20,0.90,13300.0
Bakso ayam,1.20,1.00,0.20,0.90,23300.0
Sate,1.20,1.00,0.20,0.90,27300.0
Rendang,1.20,1.00,0.20,0.90,36300.0
Sayur lodeh,1.20,1.00,0.20,0.90,25300.0
Gado Gado,1.20,1.00,0.20,0.90,24300.0
Rawon,1.20,1.00,0.20,0.90,31300.0
Ketoprak,1.20,1.00,0.20,0.90,23800.0
Siomay,1.20,1.00,0.20,0.90,20300.0
Nasi Goreng,1.40,1.00,0.20,0.90,26500.0
Indomie,1.40,1.00,0.20,0.90,13500.0
Bakso ayam,1.40,1.00,0.20,0.90,23500.0
Sate,1.40,1.00,0.20,0.90,27500.0
Rendang,1.40,1.00,0.20,0.90,36500.0
Sayur lodeh,1.40,1.00,0.20,0.90,25500.0
Gado Gado,1.40,1.00,0.20,0.90,24500.0
Rawon,1.40,1.00,0.20,0.90,31500.0
Ketoprak,1.40,1.00,0.20,0.90,24000.0
Siomay,1.40,1.00,0.20,0.90,20500.0
Nasi Goreng,1.60,1.00,0.20,0.90,26700.0
Indomie,1.60,1.00,0.20,0.90,13700.0
Bakso ayam,1.60,1.00,0.20,0.90,23700.0
Sate,1.60,1.00,0.20,0.90,27700.0
Rendang,1.60,1.00,0.20,0.90,36700.0
